date,pred_flow,river_flow,river_stage,flood_flag,cause,flood_type
1975-06-26,40.9081,18.19,NA,0,NA,NA
1975-06-27,42.1447,17.25,NA,0,NA,NA
1975-06-28,46.8703,20.69,NA,0,NA,NA
1975-06-29,54.8598,34.75,NA,0,NA,NA
1975-06-30,65.3921,64.23,NA,0,NA,NA
1975-07-01,62.5204,37.9,NA,0,NA,NA
1975-07-02,56.1346,33.23,NA,0,NA,NA
1975-07-03,57.2741,49.99,NA,0,NA,NA
1975-07-04,67.5306,67.55,NA,0,NA,NA
1975-07-05,74.5255,55.87,NA,0,NA,NA
1975-07-06,71.3665,56.1,NA,0,NA,NA
1975-07-07,63.7901,39.56,NA,0,NA,NA
1975-07-08,56.7621,41.38,NA,0,NA,NA
1975-07-09,58.9999,35.86,NA,0,NA,NA
1975-07-10,59.0809,42.61,NA,0,NA,NA
1975-07-11,56.1369,40.87,NA,0,NA,NA
1975-07-12,52.9033,32.2,NA,0,NA,NA
1975-07-13,66.026,31.42,NA,0,NA,NA
1975-07-14,100.847,78.28,NA,0,NA,NA
1975-07-15,117.281,72.46,NA,0,NA,NA
1975-07-16,130.419,122.24,NA,0,NA,NA
1975-07-17,113.587,144.93,NA,0,NA,NA
1975-07-18,95.7773,65.33,NA,0,NA,NA
1975-07-19,85.902,48.73,NA,0,NA,NA
1975-07-20,77.5712,41.03,NA,0,NA,NA
1975-07-21,71.8102,37.13,NA,0,NA,NA
1975-07-22,66.5806,30.64,NA,0,NA,NA
1975-07-23,59.8455,26.06,NA,0,NA,NA
1975-07-24,53.1189,23.25,NA,0,NA,NA
1975-07-25,47.2455,25.31,NA,0,NA,NA
1975-07-26,45.0927,19.55,NA,0,NA,NA
1975-07-27,119.758,19.82,NA,0,NA,NA
1975-07-28,116.106,18.73,NA,0,NA,NA
1975-07-29,90.6604,17.4,NA,0,NA,NA
1975-07-30,72.5145,16.99,NA,0,NA,NA
1975-07-31,61.8103,15.6,NA,0,NA,NA
1975-08-01,55.627,15.36,NA,0,NA,NA
1975-08-02,49.6258,14.19,NA,0,NA,NA
1975-08-03,43.9119,13.54,NA,0,NA,NA
1975-08-04,39.7393,16.41,NA,0,NA,NA
1975-08-05,38.6297,22.98,NA,0,NA,NA
1975-08-06,57.3227,49.67,NA,0,NA,NA
1975-08-07,99.5173,206.39,NA,0,NA,NA
1975-08-08,86.9956,321.25,NA,0,NA,NA
1975-08-09,70.7396,179.71,NA,0,NA,NA
1975-08-10,67.4593,100.96,NA,0,NA,NA
1975-08-11,74.8279,70.16,NA,0,NA,NA
1975-08-12,74.1033,195.49,NA,0,NA,NA
1975-08-13,68.3898,186.48,NA,0,NA,NA
1975-08-14,60.7308,139.49,NA,0,NA,NA
1975-08-15,53.6255,88.2,NA,0,NA,NA
1975-08-16,47.623,69.55,NA,0,NA,NA
1975-08-17,43.2049,66.99,NA,0,NA,NA
1975-08-18,39.4748,97.78,NA,0,NA,NA
1975-08-19,36.3258,104.54,NA,0,NA,NA
1975-08-20,35.5891,109.74,NA,0,NA,NA
1975-08-21,39.5358,145.82,NA,0,NA,NA
1975-08-22,61.6089,77.48,NA,0,NA,NA
1975-08-23,68.1488,69.78,NA,0,NA,NA
1975-08-24,64.0309,103.64,NA,0,NA,NA
1975-08-25,57.8709,88.36,NA,0,NA,NA
1975-08-26,61.3885,73.88,NA,0,NA,NA
1975-08-27,65.0133,78.34,NA,0,NA,NA
1975-08-28,61.4729,85.44,NA,0,NA,NA
1975-08-29,57.3132,78.82,NA,0,NA,NA
1975-08-30,52.4103,79.24,NA,0,NA,NA
1975-08-31,48.2833,77.65,NA,0,NA,NA
1975-09-01,86.1077,68.64,NA,0,NA,NA
1975-09-02,131.954,78.3,NA,0,NA,NA
1975-09-03,136.296,130.5,NA,0,NA,NA
1975-09-04,116.986,81.06,NA,0,NA,NA
1975-09-05,96.484,115.33,NA,0,NA,NA
1975-09-06,90.4285,76.06,NA,0,NA,NA
1975-09-07,146.851,67.83,NA,0,NA,NA
1975-09-08,360.006,129.35,NA,0,NA,NA
1975-09-09,439.522,185.58,NA,0,NA,NA
1975-09-10,567.868,1271.07,NA,0,NA,NA
1975-09-11,677.963,970.16,NA,1,OVERFLOW,FLUVIAL
1975-09-12,587.167,946.73,NA,0,NA,NA
1975-09-13,493.715,907.6,NA,0,NA,NA
1975-09-14,417.631,884.22,NA,0,NA,NA
1975-09-15,332.851,454.28,NA,0,NA,NA
1975-09-16,261.595,343.64,NA,0,NA,NA
1975-09-17,215.138,236.52,NA,0,NA,NA
1975-09-18,182.659,173.03,NA,0,NA,NA
1975-09-19,157.208,134.17,NA,0,NA,NA
1975-09-20,139.776,125.72,NA,0,NA,NA
1975-09-21,129.018,146.04,NA,0,NA,NA
1975-09-22,170.57,113,NA,0,NA,NA
1975-09-23,158.222,127.87,NA,0,NA,NA
1975-09-24,133.371,103.15,NA,0,NA,NA
1975-09-25,111.733,81.14,NA,0,NA,NA
1975-09-26,95.1686,69.66,NA,0,NA,NA
1975-09-27,82.1655,61.11,NA,0,NA,NA
1975-09-28,71.4066,54.93,NA,0,NA,NA
1975-09-29,62.2908,49.42,NA,0,NA,NA
1975-09-30,54.5057,44.41,NA,0,NA,NA
1975-10-01,47.9271,42.47,NA,0,NA,NA
1975-10-02,60.7749,48.07,NA,0,NA,NA
1975-10-03,105.787,153.62,NA,0,NA,NA
1975-10-04,172.112,114.29,NA,0,NA,NA
1975-10-05,163.34,111.41,NA,0,NA,NA
1975-10-06,125.076,100.53,NA,0,NA,NA
1975-10-07,96.9714,75.96,NA,0,NA,NA
1975-10-08,78.837,63.04,NA,0,NA,NA
1975-10-09,67.2501,59.37,NA,0,NA,NA
1975-10-10,61.598,84.54,NA,0,NA,NA
1975-10-11,91.832,71.22,NA,0,NA,NA
1975-10-12,93.7924,68.55,NA,0,NA,NA
1975-10-13,89.0371,61.24,NA,0,NA,NA
1975-10-14,78.4174,58.46,NA,0,NA,NA
1975-10-15,67.9871,74.26,NA,0,NA,NA
1975-10-16,59.0368,63.18,NA,0,NA,NA
1975-10-17,61.2872,59.79,NA,0,NA,NA
1975-10-18,80.2649,57.82,NA,0,NA,NA
1975-10-19,76.1007,85.11,NA,0,NA,NA
1975-10-20,63.3353,70.95,NA,0,NA,NA
1975-10-21,53.4972,60.72,NA,0,NA,NA
1975-10-22,46.9692,52.45,NA,0,NA,NA
1975-10-23,40.8299,46.96,NA,0,NA,NA
1975-10-24,35.4015,43.11,NA,0,NA,NA
1975-10-25,30.8841,39.73,NA,0,NA,NA
1975-10-26,41.4904,42.58,NA,0,NA,NA
1975-10-27,44.2916,42.29,NA,0,NA,NA
1975-10-28,40.7203,44.96,NA,0,NA,NA
1975-10-29,39.6157,41.84,NA,0,NA,NA
1975-10-30,38.2742,40.06,NA,0,NA,NA
1975-10-31,36.214,36.72,NA,0,NA,NA
1975-11-01,32.8362,33.99,NA,0,NA,NA
1975-11-02,28.885,31.52,NA,0,NA,NA
1975-11-03,25.9751,30.56,NA,0,NA,NA
1975-11-04,23.9339,32.25,NA,0,NA,NA
1975-11-05,21.5804,28.44,NA,0,NA,NA
1975-11-06,19.7963,28.01,NA,0,NA,NA
1975-11-07,18.5377,27.59,NA,0,NA,NA
1975-11-08,16.642,26.36,NA,0,NA,NA
1975-11-09,14.5969,24.59,NA,0,NA,NA
1975-11-10,12.8878,21.59,NA,0,NA,NA
1975-11-11,12.1129,20.17,NA,0,NA,NA
1975-11-12,11.2304,20.13,NA,0,NA,NA
1975-11-13,11.4628,19.66,NA,0,NA,NA
1975-11-14,13.3473,19.06,NA,0,NA,NA
1975-11-15,13.0429,18.52,NA,0,NA,NA
1975-11-16,11.3942,17.17,NA,0,NA,NA
1975-11-17,10.1594,16.43,NA,0,NA,NA
1975-11-18,9.25438,16.52,NA,0,NA,NA
1975-11-19,8.67073,16.22,NA,0,NA,NA
1975-11-20,8.26484,16.37,NA,0,NA,NA
1975-11-21,16.9177,18.07,NA,0,NA,NA
1975-11-22,21.6956,17.37,NA,0,NA,NA
1975-11-23,28.887,18.5,NA,0,NA,NA
1975-11-24,30.1385,19.1,NA,0,NA,NA
1975-11-25,30.8588,18.17,NA,0,NA,NA
1975-11-26,29.6013,16.95,NA,0,NA,NA
1975-11-27,26.1734,16.55,NA,0,NA,NA
1975-11-28,24.9004,16.28,NA,0,NA,NA
