date,flow
10/11/21,35.6395
10/12/21,30.2007
10/13/21,25.9848
10/14/21,22.4796
10/15/21,19.3513
10/16/21,37.2875
10/17/21,192.832
10/18/21,144.976
10/19/21,95.8554
10/20/21,70.3018
10/21/21,67.5659
10/22/21,65.1297
10/23/21,57.1024
10/24/21,48.4254
10/25/21,41.3541
10/26/21,37.4677
10/27/21,33.9685
10/28/21,30.1985
10/29/21,29.4507
10/30/21,26.9943
10/31/21,23.2937
11/1/21,19.803
11/2/21,17.3254
11/3/21,15.0378
11/4/21,12.8546
11/5/21,11.3054
11/6/21,11.4081
11/7/21,18.4778
11/8/21,22.0997
11/9/21,21.4662
11/10/21,18.779
11/11/21,16.7183
11/12/21,14.6339
11/13/21,18.2951
11/14/21,19.4814
11/15/21,18.3793
11/16/21,15.7466
11/17/21,12.997
11/18/21,10.816
11/19/21,186.613
11/20/21,140.65
11/21/21,89.828
11/22/21,68.0442
11/23/21,141.434
11/24/21,114.14
11/25/21,81.7675
11/26/21,65.8872
11/27/21,57.0875
11/28/21,47.8876
11/29/21,40.3506
11/30/21,35.7887
12/1/21,30.983
12/2/21,26.329
12/3/21,22.5335
12/4/21,19.4729
12/5/21,16.6271
12/6/21,14.2757
12/7/21,12.2698
12/8/21,10.7578
12/9/21,9.55482
12/10/21,8.69617
12/11/21,8.10596
12/12/21,13.7992
12/13/21,18.261
12/14/21,16.4895
12/15/21,13.9265
12/16/21,12.1878
12/17/21,10.8241
12/18/21,9.96529
12/19/21,9.48945
12/20/21,10.4394
12/21/21,10.6507
12/22/21,9.61674
12/23/21,8.67757
12/24/21,8.18636
12/25/21,7.80589
12/26/21,7.37543
12/27/21,6.95986
12/28/21,6.75578
12/29/21,6.70317
12/30/21,6.66712
12/31/21,6.63676
1/1/22,6.61073
1/2/22,6.90042
1/3/22,8.38049
1/4/22,9.16502
1/5/22,8.39206
1/6/22,7.48368
1/7/22,6.99522
1/8/22,6.88788
1/9/22,6.76534
1/10/22,25.4707
1/11/22,31.4527
1/12/22,29.9092
1/13/22,25.2644
1/14/22,21.247
1/15/22,17.9511
1/16/22,15.4388
1/17/22,13.4271
1/18/22,11.4734
1/19/22,9.76177
1/20/22,8.65846
1/21/22,9.77038
1/22/22,13.6689
1/23/22,15.6322
1/24/22,15.0638
1/25/22,13.1143
1/26/22,16.3639
1/27/22,19.7549
1/28/22,19.8948
1/29/22,26.7567
1/30/22,29.0627
1/31/22,25.247
2/1/22,20.9037
2/2/22,17.4635
2/3/22,14.88
2/4/22,15.9092
2/5/22,18.4072
2/6/22,17.4922
2/7/22,15.0473
2/8/22,15.1044
2/9/22,17.0206
2/10/22,16.1657
2/11/22,14.1856
2/12/22,13.0033
2/13/22,38.6774
2/14/22,42.538
2/15/22,33.801
2/16/22,27.3662
2/17/22,22.5008
2/18/22,18.4204
2/19/22,15.6731
2/20/22,14.4778
2/21/22,13.3933
